ID,deposits,deposit_amount,withdrawals,withdrawal_amount,declines,biggest_deposit,deposit_amount_variance,withdrawal_amount_variance,nightdeposits,activeweeks,activemonths,propnight,intensity,netloss,logdeclines
customer1,102,18132.89,2,1100,2,600,18288.175,405000,67,22,7,0.656862745,4.636363636,17032.89,1.098612289
customer10,388,24424,2,60,2,535.6,4599.30483,800,135,26,6,0.347938144,14.92307692,24364,1.098612289
customer100,107,2520.75,0,0,0,144.2,438.3942437,0,35,44,12,0.327102804,2.431818182,2520.75,0
customer1000,145,6776.08,5,26.12,0,309,3159.335598,20.66088,55,17,4,0.379310345,8.529411765,6749.96,0
customer1001,45,43820.95,1,349,6,2060,327507.5086,0,20,34,12,0.444444444,1.323529412,43471.95,1.945910149
customer1002,20,7238.04,2,360.36,0,1030,135806.3179,48161.6648,8,9,4,0.4,2.222222222,6877.68,0
customer1003,176,9264.83,50,2547.89,0,309,2109.965162,1361.246593,71,45,12,0.403409091,3.911111111,6716.94,0
customer1004,274,5585,22,4215,0,123.59,1238.940523,27258.06277,74,48,12,0.270072993,5.708333333,1370,0
customer1005,41,738.8,0,0,0,150,569.0617048,0,16,22,9,0.390243902,1.863636364,738.8,0
customer1006,133,2190.71,0,0,0,72.1,247.2421417,0,2,45,12,0.015037594,2.955555556,2190.71,0
customer1007,18,502.14,3,6.74,0,206,143.8604353,5.702533333,0,15,5,0,1.2,495.4,0
customer1008,68,3513.25,0,0,0,128.75,607.3500192,0,36,18,4,0.529411765,3.777777778,3513.25,0
customer1009,23,736.15,14,931.6,0,110,655.6018055,3464.045714,11,12,6,0.47826087,1.916666667,-195.45,0
customer101,19,1900.88,0,0,0,103,0.040757895,0,4,17,7,0.210526316,1.117647059,1900.88,0
customer1010,83,1048.95,7,565.98,0,309,119.5432067,12789.9106,35,16,4,0.421686747,5.1875,482.97,0
customer1011,127,2051.02,4,1770,0,51.5,60.93713566,173225,25,39,11,0.196850394,3.256410256,281.02,0
customer1012,34,1022.54,10,441.86,0,149.35,1309.415711,817.5233156,10,14,6,0.294117647,2.428571429,580.68,0
customer1013,3,19.85,0,0,0,10.31,8.590833333,0,0,1,1,0,3,19.85,0
customer1014,60,3623,0,0,0,618,8219.291243,0,22,24,7,0.366666667,2.5,3623,0
customer1015,96,2813.54,0,0,0,110,197.7122747,0,4,27,8,0.041666667,3.555555556,2813.54,0
customer1016,51,5104.85,0,0,0,515,8529.352093,0,28,20,7,0.549019608,2.55,5104.85,0
customer1017,25,780,5,521,0,66.95,1770.166667,11577.2,4,12,4,0.16,2.083333333,259,0
customer1018,8,473.11,0,0,0,200,3743.936584,0,3,5,2,0.375,1.6,473.11,0
